Global Rank	,Company	,Sales ($billion)	,Profits ($billion)	,Assets ($billion)	,Market Value ($billion)
20,Petrobras,144.1,11.0,331.6,120.7
42,Itaú Unibanco Holding,70.5,6.2,453.6,82.0
45,Banco Bradesco,78.3,5.6,417.5,72.0
67,Banco do Brasil,69.0,6.0,552.2,37.9
87,Vale,45.7,4.8,130.4,92.7
173,Itaúsa,27.8,2.2,172.4,25.4
597,Cemig,9.5,2.2,19.4,10.7
614,Grupo Pão de Açúcar,24.9,0.5,16.8,14.1
656,JBS,38.9,0.4,24.3,10.4
671,CSN,8.9,2.0,24.2,7.2
734,BRF-Brasil Foods,13.9,0.4,24.3,10.4
819,Oi,12.3,0.4,14.7,19.2
836,CPFL Energia,7.7,0.6,15.2,10.4
910,Sabesp,5.5,1.0,12.8,10.5
935,Eletrobrás,17.5,-3.5,84.1,5.0
1075,Cielo,2.6,1.1,4.7,18.9
1156,Braskem,17.3,-0.4,19.6,5.0
1158,BM&F Bovespa,1.0,0.5,11.7,13.4
1173,Metalurgica Gerdau,18.5,0.2,25.0,3.8
1211,Cosan,14.1,0.3,12.2,5.5
1234,CCR,3.0,0.6,7.0,17.3
1517,Embraer,6.2,0.3,9.5,6.3
1520,BR Malls,0.6,0.9,8.7,5.8
1542,Natura Cosmeticos,3.1,0.4,2.5,10.5
1574,Banrisul,3.6,0.4,22.3,3.6
1586,Marfrig Group,12.3,-0.1,12.0,2.5
1627,Usiminas,6.2,-0.3,15.3,5.3
1811,Lojas Americanas,5.5,0.2,5.3,8.9
1908,Porto Seguro,6.1,0.3,8.8,4.4
1914,WEG,3.0,0.3,4.3,8.1
1989,Klabin,2.0,0.4,6.9,6.5
